Ten_Category,Ma_Khach_Hang,Ten_Khach_Hang,Email,So_Luot_Thue_Trong_Category,Lan_Thue_Gan_Nhat
Action,1,MARY SMITH,MARY.SMITH@sakilacustomer.org,2,2005-08-17 12:37:54
Action,2,PATRICIA JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,3,2005-08-02 02:10:56
Action,3,LINDA WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,4,2005-07-29 11:07:04
Action,4,BARBARA JONES,BARBARA.JONES@sakilacustomer.org,1,2005-06-16 15:51:52
Action,5,ELIZABETH BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,2005-07-10 11:09:35
Action,6,JENNIFER DAVIS,JENNIFER.DAVIS@sakilacustomer.org,2,2005-08-17 08:12:20
Action,7,MARIA MILLER,MARIA.MILLER@sakilacustomer.org,2,2005-08-01 08:19:53
Action,8,SUSAN WILSON,SUSAN.WILSON@sakilacustomer.org,1,2005-07-08 02:17:12
Action,10,DOROTHY TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,2,2005-07-28 22:34:12
Action,11,LISA ANDERSON,LISA.ANDERSON@sakilacustomer.org,2,2006-02-14 15:16:03
Action,12,NANCY THOMAS,NANCY.THOMAS@sakilacustomer.org,3,2005-08-16 22:52:30
Action,13,KAREN JACKSON,KAREN.JACKSON@sakilacustomer.org,2,2005-07-06 21:39:24
Action,14,BETTY WHITE,BETTY.WHITE@sakilacustomer.org,3,2005-08-20 11:20:12
Action,15,HELEN HARRIS,HELEN.HARRIS@sakilacustomer.org,1,2005-08-21 16:31:22
Action,16,SANDRA MARTIN,SANDRA.MARTIN@sakilacustomer.org,1,2005-07-06 02:23:39
Action,17,DONNA THOMPSON,DONNA.THOMPSON@sakilacustomer.org,3,2005-08-20 10:24:41
Action,18,CAROL GARCIA,CAROL.GARCIA@sakilacustomer.org,1,2005-07-08 10:15:38
Action,20,SHARON ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1,2005-06-21 11:21:38
Action,21,MICHELLE CLARK,MICHELLE.CLARK@sakilacustomer.org,2,2005-08-01 19:28:47
Action,22,LAURA RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,2005-08-20 22:18:53
Action,23,SARAH LEWIS,SARAH.LEWIS@sakilacustomer.org,2,2005-07-06 13:53:41
Action,24,KIMBERLY LEE,KIMBERLY.LEE@sakilacustomer.org,2,2005-08-02 12:09:45
Action,25,DEBORAH WALKER,DEBORAH.WALKER@sakilacustomer.org,4,2005-08-23 20:00:30
Action,26,JESSICA HALL,JESSICA.HALL@sakilacustomer.org,3,2005-08-21 20:12:30
Action,27,SHIRLEY ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1,2005-07-11 07:36:50
Action,28,CYNTHIA YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,4,2006-02-14 15:16:03
Action,29,ANGELA HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,2,2005-08-19 23:36:25
Action,30,MELISSA KING,MELISSA.KING@sakilacustomer.org,2,2005-08-23 04:17:56
Action,34,REBECCA SCOTT,REBECCA.SCOTT@sakilacustomer.org,2,2005-08-01 14:58:14
Action,35,VIRGINIA GREEN,VIRGINIA.GREEN@sakilacustomer.org,5,2005-08-21 22:25:09
Action,36,KATHLEEN ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,2,2005-08-02 03:48:17
Action,39,DEBRA NELSON,DEBRA.NELSON@sakilacustomer.org,3,2005-08-18 04:26:54
Action,40,AMANDA CARTER,AMANDA.CARTER@sakilacustomer.org,3,2005-08-17 17:11:05
Action,41,STEPHANIE MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,2,2005-08-19 01:07:02
Action,42,CAROLYN PEREZ,CAROLYN.PEREZ@sakilacustomer.org,4,2005-08-01 05:18:56
Action,43,CHRISTINE ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,2,2005-08-23 18:51:41
Action,44,MARIE TURNER,MARIE.TURNER@sakilacustomer.org,2,2006-02-14 15:16:03
Action,45,JANET PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,4,2005-08-17 08:09:00
Action,46,CATHERINE CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,1,2005-07-27 14:11:45
Action,47,FRANCES PARKER,FRANCES.PARKER@sakilacustomer.org,4,2005-08-23 15:39:18
Action,48,ANN EVANS,ANN.EVANS@sakilacustomer.org,2,2005-07-06 12:43:11
Action,49,JOYCE EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,3,2005-08-21 03:00:03
Action,50,DIANE COLLINS,DIANE.COLLINS@sakilacustomer.org,1,2005-06-16 19:27:12
