Ten_Phim,Ma_Khach_Hang,Ten_Khach_Hang,Email,So_Lan_Thue,Lan_Thue_Gan_Nhat
ACADEMY DINOSAUR,8,SUSAN WILSON,SUSAN.WILSON@sakilacustomer.org,1,2005-07-31 22:08:29
ACADEMY DINOSAUR,34,REBECCA SCOTT,REBECCA.SCOTT@sakilacustomer.org,1,2005-08-18 18:36:16
ACADEMY DINOSAUR,39,DEBRA NELSON,DEBRA.NELSON@sakilacustomer.org,1,2005-07-31 21:36:07
ACADEMY DINOSAUR,44,MARIE TURNER,MARIE.TURNER@sakilacustomer.org,1,2005-07-07 20:59:06
ACADEMY DINOSAUR,92,TINA SIMMONS,TINA.SIMMONS@sakilacustomer.org,1,2005-08-22 00:44:08
ACADEMY DINOSAUR,161,GERALDINE PERKINS,GERALDINE.PERKINS@sakilacustomer.org,1,2005-07-07 10:41:31
ACADEMY DINOSAUR,170,BEATRICE ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,1,2005-06-17 20:24:00
ACADEMY DINOSAUR,252,MATTIE HOFFMAN,MATTIE.HOFFMAN@sakilacustomer.org,1,2005-07-27 07:51:11
ACADEMY DINOSAUR,279,DIANNE SHELTON,DIANNE.SHELTON@sakilacustomer.org,1,2005-08-21 21:27:43
ACADEMY DINOSAUR,301,ROBERT BAUGHMAN,ROBERT.BAUGHMAN@sakilacustomer.org,1,2005-08-02 00:47:19
ACADEMY DINOSAUR,344,HENRY BILLINGSLEY,HENRY.BILLINGSLEY@sakilacustomer.org,1,2005-08-21 18:32:42
ACADEMY DINOSAUR,345,CARL ARTIS,CARL.ARTIS@sakilacustomer.org,1,2005-06-15 02:57:51
ACADEMY DINOSAUR,359,WILLIE MARKHAM,WILLIE.MARKHAM@sakilacustomer.org,1,2005-08-23 01:01:01
ACADEMY DINOSAUR,406,NATHAN RUNYON,NATHAN.RUNYON@sakilacustomer.org,1,2005-07-10 13:07:31
ACADEMY DINOSAUR,411,NORMAN CURRIER,NORMAN.CURRIER@sakilacustomer.org,1,2005-05-30 20:21:07
ACADEMY DINOSAUR,431,JOEL FRANCISCO,JOEL.FRANCISCO@sakilacustomer.org,1,2005-07-08 19:03:15
ACADEMY DINOSAUR,487,HECTOR POINDEXTER,HECTOR.POINDEXTER@sakilacustomer.org,1,2005-07-29 09:41:38
ACADEMY DINOSAUR,518,GABRIEL HARDER,GABRIEL.HARDER@sakilacustomer.org,1,2005-08-02 20:13:10
ACADEMY DINOSAUR,541,DARREN WINDHAM,DARREN.WINDHAM@sakilacustomer.org,1,2005-08-22 23:56:37
ACADEMY DINOSAUR,554,DWAYNE OLVERA,DWAYNE.OLVERA@sakilacustomer.org,1,2005-08-21 00:30:32
ACADEMY DINOSAUR,581,VIRGIL WOFFORD,VIRGIL.WOFFORD@sakilacustomer.org,1,2005-07-30 22:02:34
ACADEMY DINOSAUR,587,SERGIO STANFIELD,SERGIO.STANFIELD@sakilacustomer.org,1,2005-05-27 07:03:28
ACADEMY DINOSAUR,597,FREDDIE DUGGAN,FREDDIE.DUGGAN@sakilacustomer.org,1,2005-06-21 00:30:26
ACE GOLDFINGER,82,KATHRYN COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,1,2005-07-28 05:04:47
ACE GOLDFINGER,139,AMBER DIXON,AMBER.DIXON@sakilacustomer.org,1,2005-08-22 16:59:05
ACE GOLDFINGER,145,LUCILLE HOLMES,LUCILLE.HOLMES@sakilacustomer.org,1,2005-07-07 19:46:51
